,id,country,mobile,desktop,provider_id
0,1731,,0.00025000,0.00020000,
1,3625,VC,0.00002000,0.00125221,
2,3627,BI,0.00002000,0.00098548,
3,3636,NZ,0.00002000,0.00062428,
4,3638,ET,0.00002000,0.00060754,
5,3643,RE,0.00002000,0.00050976,
6,3644,FI,0.00002000,0.00048557,
7,3646,NO,0.00002000,0.00047148,
8,3648,YE,0.00002000,0.00045314,
9,3656,TT,0.00002000,0.00035348,
10,3658,MT,0.00002000,0.00035137,
11,3664,UG,0.00002000,0.00030415,
12,3672,MG,0.00002000,0.00026668,
13,3677,EE,0.00002000,0.00025124,
14,3679,TG,0.00002000,0.00024755,
15,3683,GE,0.00002000,0.00022979,
16,3685,SN,0.00002000,0.00022387,
17,3697,AO,0.00002000,0.00018155,
18,3701,CI,0.00002000,0.00016819,
19,3707,BA,0.00002000,0.00015511,
20,3712,LU,0.00002000,0.00014516,
21,3714,SR,0.00002000,0.00013764,
22,3716,UZ,0.00002000,0.00013490,
23,3718,NA,0.00002000,0.00012411,
24,3722,CM,0.00002000,0.00006277,
25,3613,US,0.0020866646925583997,0.0017657723205966001,
26,3617,CA,0.0019388605770829996,0.0014738398320792998,
27,3632,JP,0.0018024205383526998,0.0008939872031250001,
28,3614,BE,0.0017724881302079998,0.0016986474305247003,
29,3651,KZ,0.0015925022109375,0.0004294214957216,
30,3633,IQ,0.0015385220078125003,0.0007653258950621,
31,3723,CY,0.00125208,0.00002000,
32,3623,DE,0.0014555319126663996,0.0014556888338659,
33,3622,IL,0.0014555319126663996,0.0014556888338659,
34,3620,SG,0.0014555319126663996,0.0014556888338659,
35,3700,LT,0.0014555319126663996,0.00019729355715739118,
36,3626,GB,0.0014555319126663996,0.0014556888338659,
37,3619,AT,0.0014105054895829998,0.0014556888338659,
38,3630,NL,0.0013807895068994,0.0009569261879566,
39,3621,AU,0.0013124765723686999,0.0014556888338659,
40,3615,FR,0.0012903060955112,0.0016741123938487,
41,3629,ES,0.0012873678882209002,0.0009686202396915998,
42,3647,ZA,0.0012830675492189,0.0005416011190431,
43,3669,DK,0.0011843341718750001,0.00032238970072880004,
44,3709,BY,0.0010921204103538998,0.00017170365250000001,
45,3680,HR,0.00105651003125,0.0002860883529957508,
46,3618,IT,0.0009157806081486,0.0014556888338659,
47,3641,AE,0.0009119136353433999,0.000606141018108,
48,3645,BR,0.0009015115498307999,0.0005533928367231002,
49,3624,CH,0.0008807847875,0.0014556888338659,
50,3687,AZ,0.00086688496875,0.00024982671375000005,
51,3667,SK,0.0008502364343064999,0.0003304655563701,
52,3652,SE,0.000741272807292,0.0004217338168878,
53,3689,KE,0.0007048562636718001,0.00024560471947763905,
54,3659,DO,0.0006852366108961,0.0004008496334773,
55,3668,NG,0.0006806352687682002,0.00032567301680939997,
56,3628,IE,0.0006508396718749999,0.0011378862421875002,
57,3715,BO,0.0006479572051184,0.00015967480224980685,
58,3670,CL,0.0006471867048218,0.0003144584463772,
59,3663,MX,0.0006400677533017001,0.0003669641116263,
60,3655,SA,0.0006367484051547001,0.00041791650968890003,
61,3699,SV,0.000605780720339,0.00020359350334831427,
62,3637,HK,0.0006040509132617,0.0007078766907624,
63,3720,GH,0.0005997963128490999,0.000128260380859375,
64,3661,PL,0.0005988473987812,0.00037812565263800006,
65,3724,GA,0.00051082,0.00002000,
66,3713,EG,0.0005548874187113,0.00016178554656356856,
67,3673,HU,0.0005449086184211,0.0003024444188412948,
68,3665,LV,0.0005440847413793,0.0003440346773759,
69,3635,PY,0.0005439046875,0.0007372393359375,
70,3653,PE,0.0005411352230818,0.0004210687671591,
71,3725,SB,0.00045961,0.00002000,
72,3682,SI,0.0005004584296875,0.00027465418168133696,
73,3693,AR,0.0004905394403633,0.00023303766835318937,
74,3671,UY,0.0004900242512379,0.000310549765625,
75,3642,IN,0.0004896491996592,0.0006049645549175,
76,3684,RU,0.0004792251169913,0.00026540777726819545,
77,3719,MA,0.00047880333530000003,0.00013558264987004602,
78,3688,TH,0.0004772737662461,0.00024605018142618337,
79,3695,UA,0.00046972067386580004,0.00022727702266774183,
80,3654,PH,0.0004682892329411,0.00041825929126750006,
81,3696,NP,0.0004675976685266,0.00022029358776923922,
82,3640,MY,0.00046462121875,0.0006717003473207,
83,3662,CO,0.0004505362763545,0.000372212830923,
84,3674,MN,0.0004345599375,0.00029692056718750003,
85,3726,MV,0.00037073,0.00002000,
86,3649,BD,0.00042197772866600007,0.0005173403159466,
87,3657,PT,0.00041988083297280003,0.00040982055285779994,
88,3639,BH,0.0004167766629465001,0.0006769289166669999,
89,3681,CR,0.0004124806416018,0.0002857586785458019,
90,3721,NI,0.00040959653440990004,8.662428459101887e-05,
91,3708,TR,0.00040580232558140003,0.00017975932577034656,
92,3686,GT,0.00039301038839259993,0.00024999507457405454,
93,3727,ZM,0.00033363,0.00002000,
94,3676,QA,0.00038773946428570006,0.0002937923176570843,
95,3705,EC,0.0003771190871578,0.00018534695317776228,
96,3678,GR,0.0003702646268386,0.00029160711028081924,
97,3691,PK,0.00036437052420180006,0.00024021043114891342,
98,3650,KW,0.0003641858505864,0.0005047684716570999,
99,3717,DZ,0.0003609090127611,0.0001480349579036825,
100,3690,PA,0.0003499486400183999,0.0002446272758151565,
101,3694,RO,0.0003473119628443,0.00022887080200856947,
102,3616,JM,0.0003218027294776,0.0014937938515625,
103,3660,OM,0.00032051142187500004,0.00038072892187499994,
104,3706,TN,0.0003158326235794,0.0001851348091920779,
105,3692,ID,0.00030936983347640886,0.0002397074679219954,
106,3704,VE,0.0002927823538848324,0.00018988112769561296,
107,3728,MZ,0.00024575,0.00002000,
108,3675,TW,0.0002755656781912957,0.00029621864000000005,
109,3702,LK,0.00024918689062486453,0.00019526796139459593,
110,3666,KG,0.000240044721875,0.000335150978125,
111,3698,VN,0.00023067873054053963,0.00021046487125819384,
112,3710,HN,0.00021060628503619678,0.00017128761522757142,
113,3631,CN,0.0002051837526044,0.0009434507358371001,
114,3703,BG,0.0001971727013889667,0.0001924585276348773,
115,3729,JO,0.00013895,0.00002000,
116,3634,BJ,0.00013765435511344545,0.000753405109375,
117,3711,AL,0.00012659334582464947,0.0001702051609375,
118,3730,ZW,0.00005818,0.00002000,
